epoch,Loss,Loss Val,BCE,BCE Val,BCE + Dice,BCE + Dice Val,Precision,Precision Val,Recall,Recall Val
0,0.9439351558685303,0.9186531901359558,0.6277828216552734,0.3326668441295624,1.5717177391052246,1.2513201236724854,0.029834264889359474,0.044910259544849396,0.49614012241363525,0.4490322470664978
1,0.8946923017501831,0.8817048072814941,0.30364111065864563,0.12177690118551254,1.1983332633972168,1.0034818649291992,0.061917658895254135,0.0783427283167839,0.4449319839477539,0.25042715668678284
2,0.8504359126091003,0.8749379515647888,0.200596421957016,0.10102203488349915,1.051032543182373,0.9759599566459656,0.10154659301042557,0.09106339514255524,0.38930168747901917,0.20662280917167664
3,0.8183324933052063,0.8789481520652771,0.15509937703609467,0.08442032337188721,0.9734320640563965,0.9633684158325195,0.14110155403614044,0.11212833970785141,0.34771350026130676,0.13513197004795074
4,0.8037258386611938,0.8995657563209534,0.15574198961257935,0.08320411294698715,0.9594677090644836,0.9827699065208435,0.1639806479215622,0.12899790704250336,0.35614222288131714,0.08379411697387695
5,0.7917283177375793,0.941679835319519,0.15354830026626587,0.09644200652837753,0.9452762603759766,1.0381219387054443,0.1757320910692215,0.14072097837924957,0.3683403730392456,0.03714243695139885
6,0.7725675702095032,0.9594095945358276,0.14215297996997833,0.10582712292671204,0.9147204160690308,1.0652366876602173,0.2073589712381363,0.14644993841648102,0.3537127673625946,0.023712504655122757
7,0.7631706595420837,0.9835667610168457,0.1404719054698944,0.13126835227012634,0.9036427736282349,1.1148351430892944,0.2129262536764145,0.15443967282772064,0.37351036071777344,0.008700789883732796
8,0.7674794793128967,0.9901142120361328,0.14346149563789368,0.146876260638237,0.9109408259391785,1.1369904279708862,0.19501321017742157,0.17250588536262512,0.4027120769023895,0.0050972201861441135
9,0.7619658708572388,0.9969221353530884,0.14008264243602753,0.18288908898830414,0.9020485877990723,1.1798110008239746,0.20217370986938477,0.19526271522045135,0.40250164270401,0.0015538897132501006
10,0.7466897368431091,0.9971387982368469,0.13281041383743286,0.19144894182682037,0.8795003294944763,1.1885876655578613,0.2188156396150589,0.2422492802143097,0.3977648615837097,0.001441720174625516
11,0.7314155101776123,0.9982680678367615,0.12264272570610046,0.2163247913122177,0.8540580868721008,1.2145930528640747,0.23351550102233887,0.3123731017112732,0.38505861163139343,0.0008706545340828598
12,0.72393399477005,0.9981053471565247,0.12336479872465134,0.2207498848438263,0.8472990989685059,1.2188551425933838,0.24532651901245117,0.3439022898674011,0.38276079297065735,0.0009522400214336812
13,0.7099605798721313,0.9984239935874939,0.11955868452787399,0.23394611477851868,0.8295193910598755,1.2323702573776245,0.2650225758552551,0.40861520171165466,0.3772203028202057,0.0007917346083559096
14,0.7014568448066711,0.9970782995223999,0.12068602442741394,0.22235067188739777,0.8221428990364075,1.2194290161132812,0.27398964762687683,0.42835113406181335,0.38527366518974304,0.0014682833570986986
15,0.6914249658584595,0.9948753714561462,0.12369127571582794,0.20864146947860718,0.8151163458824158,1.203516960144043,0.2872268855571747,0.44256114959716797,0.39512205123901367,0.0025801113806664944
16,0.6813866496086121,0.9899179339408875,0.11950298398733139,0.18661631643772125,0.8008896112442017,1.1765341758728027,0.29272139072418213,0.42234522104263306,0.39950186014175415,0.0051062568090856075
17,0.6636431217193604,0.967721164226532,0.11573700606822968,0.13819535076618195,0.7793803811073303,1.1059163808822632,0.3140108287334442,0.34378287196159363,0.40492722392082214,0.01696498692035675
18,0.6536436676979065,0.9144137501716614,0.11663732677698135,0.11281890422105789,0.7702811360359192,1.0272326469421387,0.32283782958984375,0.33031561970710754,0.4194595515727997,0.04939866065979004
19,0.6416875720024109,0.8100756406784058,0.11290646344423294,0.08887996524572372,0.7545941472053528,0.8989555239677429,0.3417695164680481,0.30977481603622437,0.4088013768196106,0.13855919241905212
20,0.6357523202896118,0.8277141451835632,0.1143186017870903,0.09593900293111801,0.7500709295272827,0.9236533641815186,0.3394119441509247,0.32000380754470825,0.4258556365966797,0.11909817159175873
21,0.6209495067596436,0.7639584541320801,0.11079331487417221,0.08185908943414688,0.7317426800727844,0.8458175659179688,0.35014182329177856,0.33637264370918274,0.44052812457084656,0.18420088291168213
22,0.6118276119232178,0.7074829339981079,0.11235316097736359,0.08626864850521088,0.724181056022644,0.7937516570091248,0.3745390772819519,0.34780821204185486,0.43718385696411133,0.256379634141922
23,0.6014045476913452,0.6406354904174805,0.11073959618806839,0.09033630043268204,0.7121439576148987,0.7309718728065491,0.3790130913257599,0.34111303091049194,0.44419237971305847,0.3875516355037689
24,0.5899807810783386,0.6707510948181152,0.10825366526842117,0.08220252394676208,0.6982343792915344,0.7529537677764893,0.38251975178718567,0.34400883316993713,0.4650891125202179,0.3214607536792755
25,0.5794298648834229,0.6341720223426819,0.10778086632490158,0.07902713119983673,0.6872106194496155,0.7131991386413574,0.4009665548801422,0.30280575156211853,0.468946635723114,0.4728486239910126
26,0.5686405301094055,0.602007269859314,0.10738291591405869,0.08731961250305176,0.6760233044624329,0.689326822757721,0.4096575379371643,0.3545707166194916,0.48481285572052,0.46327629685401917
27,0.5630578994750977,0.6003137230873108,0.10393542051315308,0.08493149280548096,0.6669933199882507,0.6852452754974365,0.4061039090156555,0.3768483102321625,0.49621325731277466,0.43413275480270386
28,0.5794289112091064,0.5865936279296875,0.11186500638723373,0.08947823196649551,0.6912938952445984,0.6760719418525696,0.39987611770629883,0.35413581132888794,0.4793394207954407,0.5075306296348572
