epoch,Loss,Loss Val,BCE,BCE Val,BCE + Dice,BCE + Dice Val,Precision,Precision Val,Recall,Recall Val
0,0.8923802971839905,0.8308653235435486,0.4566662907600403,0.27107277512550354,1.3490468263626099,1.101938009262085,0.06156422570347786,0.10297723859548569,0.47829264402389526,0.48477330803871155
1,0.8119179010391235,0.7260782122612,0.22661612927913666,0.1178598701953888,1.0385336875915527,0.8439380526542664,0.12446267902851105,0.2273121327161789,0.4575837254524231,0.3498561382293701
2,0.7227059602737427,0.7284923195838928,0.1366531252861023,0.1113511249423027,0.8593593239784241,0.8398435115814209,0.21931560337543488,0.34974002838134766,0.4216059744358063,0.22362495958805084
3,0.6937326788902283,0.6657587885856628,0.12116791307926178,0.10261867940425873,0.8149006962776184,0.768377423286438,0.2608966827392578,0.4013797342777252,0.41253727674484253,0.2882886528968811
4,0.6381965279579163,0.6503642797470093,0.10901360958814621,0.1013336032629013,0.7472100257873535,0.7516977787017822,0.32534822821617126,0.3972174823284149,0.4376910924911499,0.3147560656070709
5,0.6165226697921753,0.6361654996871948,0.11313609033823013,0.09424088150262833,0.7296587824821472,0.7304064631462097,0.36019718647003174,0.35185953974723816,0.4476853013038635,0.38084354996681213
6,0.6029191613197327,0.641856849193573,0.10645783692598343,0.0986713171005249,0.7093767523765564,0.7405280470848083,0.38043907284736633,0.3679158091545105,0.4510183334350586,0.35270124673843384
7,0.5837939977645874,0.6303978562355042,0.1105857864022255,0.09930452704429626,0.694379985332489,0.729702353477478,0.40511342883110046,0.33227595686912537,0.45471203327178955,0.4224563539028168
8,0.5739055275917053,0.6095827221870422,0.11734400689601898,0.09464296698570251,0.6912494897842407,0.7042257785797119,0.4118107557296753,0.3742394745349884,0.46282145380973816,0.41286301612854004
9,0.5669872760772705,0.6162742376327515,0.11253022402524948,0.09731446206569672,0.6795175671577454,0.7135887145996094,0.4152466654777527,0.3652229905128479,0.47849205136299133,0.40936070680618286
10,0.5643845796585083,0.6031255722045898,0.12088282406330109,0.09964700043201447,0.6852675080299377,0.7027726173400879,0.425798624753952,0.3369269371032715,0.4682404100894928,0.4907383322715759
11,0.5504017472267151,0.6292460560798645,0.11888480186462402,0.09993916749954224,0.6692867279052734,0.7291851043701172,0.43970733880996704,0.32871678471565247,0.4858189523220062,0.43243756890296936
12,0.5558852553367615,0.5973386168479919,0.12853123247623444,0.1106775775551796,0.6844164133071899,0.7080161571502686,0.4299463927745819,0.3162051737308502,0.4867004156112671,0.5656175017356873
13,0.537666916847229,0.5873451828956604,0.11874045431613922,0.10280300676822662,0.6564070582389832,0.6901482343673706,0.4533655047416687,0.3467986285686493,0.4962140619754791,0.5190563201904297
14,0.5441105961799622,0.5715070962905884,0.12944506108760834,0.0973690003156662,0.6735556125640869,0.668876051902771,0.4498473107814789,0.41203418374061584,0.4887550473213196,0.4517592787742615
15,0.528842568397522,0.565258264541626,0.13287949562072754,0.10043560713529587,0.6617218852043152,0.6656938195228577,0.4630039632320404,0.3695741295814514,0.505005955696106,0.5368372797966003
16,0.5309733152389526,0.5480929017066956,0.12691201269626617,0.09821771830320358,0.6578854918479919,0.646310567855835,0.4549368917942047,0.39421772956848145,0.5101414322853088,0.5375791192054749
17,0.5338891744613647,0.5344365239143372,0.12120623141527176,0.09581484645605087,0.655095636844635,0.6302512288093567,0.45006102323532104,0.4387393593788147,0.5179072618484497,0.5018385648727417
18,0.5295618176460266,0.5571960806846619,0.1312311440706253,0.10271076112985611,0.6607928276062012,0.659906804561615,0.46213018894195557,0.3749067187309265,0.5119040012359619,0.549887478351593
19,0.5266249775886536,0.5425543785095215,0.13290710747241974,0.10036640614271164,0.6595318913459778,0.6429208517074585,0.4651850163936615,0.39049920439720154,0.5145426988601685,0.561903715133667
20,0.5129648447036743,0.5307345986366272,0.13209442794322968,0.09842491149902344,0.6450595855712891,0.6291594505310059,0.47465819120407104,0.41819897294044495,0.5314890742301941,0.5419737100601196
21,0.5193076729774475,0.5078511834144592,0.13013504445552826,0.09894630312919617,0.6494427919387817,0.6067975163459778,0.46817123889923096,0.4926087260246277,0.5265213251113892,0.49651283025741577
22,0.5120636224746704,0.5110267996788025,0.13930284976959229,0.09568705409765244,0.6513665914535522,0.6067138910293579,0.4796283543109894,0.4346493184566498,0.5231781601905823,0.5658413767814636
23,0.5151405930519104,0.5104526281356812,0.14053285121917725,0.0966842770576477,0.6556733250617981,0.6071368455886841,0.46915334463119507,0.4391910135746002,0.5312179923057556,0.560482382774353
24,0.504398763179779,0.5181938409805298,0.13777542114257812,0.10248473286628723,0.642174482345581,0.6206785440444946,0.4917990565299988,0.4204253852367401,0.5312705636024475,0.5738359689712524
25,0.5086044073104858,0.49729323387145996,0.14122764766216278,0.09758850187063217,0.6498320698738098,0.5948817133903503,0.47092315554618835,0.43480682373046875,0.5392531156539917,0.6039676666259766
26,0.5059760212898254,0.4961274266242981,0.1403447985649109,0.10055619478225708,0.6463207006454468,0.5966835021972656,0.4768887758255005,0.4722728431224823,0.5448849201202393,0.5467959046363831
27,0.49007925391197205,0.4937472939491272,0.13974063098430634,0.1016652062535286,0.6298199892044067,0.59541255235672,0.49693065881729126,0.4525160491466522,0.5440554022789001,0.5830169320106506
28,0.5016797184944153,0.5007418990135193,0.14480383694171906,0.10376875847578049,0.6464837789535522,0.6045106649398804,0.48088914155960083,0.43885311484336853,0.5408890843391418,0.5886362195014954
29,0.49155089259147644,0.5093605518341064,0.14401020109653473,0.10711627453565598,0.6355612874031067,0.6164768934249878,0.49125540256500244,0.40567728877067566,0.5486322641372681,0.6320081949234009
30,0.5080524682998657,0.4744032323360443,0.14386986196041107,0.1000896468758583,0.6519224643707275,0.574492871761322,0.4730634093284607,0.48606565594673157,0.5454089641571045,0.5784835815429688
31,0.49675360321998596,0.4728512167930603,0.14171230792999268,0.10503911226987839,0.6384661197662354,0.5778903365135193,0.48913827538490295,0.5300168395042419,0.5549386143684387,0.5286687612533569
