epoch,Loss,Loss Val,BCE,BCE Val,BCE + Dice,BCE + Dice Val,Precision,Precision Val,Recall,Recall Val
0,0.8816579580307007,0.865501880645752,1.3024929761886597,1.481383204460144,2.1841516494750977,2.3468854427337646,0.06363601237535477,0.07237119972705841,0.9252123236656189,0.9737223386764526
1,0.8785752058029175,0.8613711595535278,1.347562551498413,1.1525413990020752,2.22613787651062,2.013913154602051,0.06529021263122559,0.07490471750497818,0.9474895000457764,0.9515814185142517
2,0.8740885257720947,0.857992947101593,1.3360551595687866,1.0606842041015625,2.210143804550171,1.9186770915985107,0.06789921969175339,0.07694070041179657,0.9474855661392212,0.9426907896995544
3,0.8775182366371155,0.8545466065406799,1.3546816110610962,1.0511083602905273,2.2322001457214355,1.9056551456451416,0.06597351282835007,0.07896740734577179,0.9515510201454163,0.9427700042724609
4,0.8709653615951538,0.8518183827400208,1.371146559715271,0.9751980304718018,2.2421116828918457,1.8270162343978882,0.06968163698911667,0.0806673988699913,0.9474961757659912,0.930993914604187
5,0.8639940619468689,0.8494563102722168,1.2895519733428955,0.9134100079536438,2.1535465717315674,1.7628662586212158,0.0737508162856102,0.08218210190534592,0.944990873336792,0.9170188903808594
6,0.8611090183258057,0.8473615646362305,1.328688144683838,0.8554139137268066,2.1897976398468018,1.7027753591537476,0.07543648779392242,0.08356207609176636,0.9477803707122803,0.9019454121589661
7,0.8608171343803406,0.8448363542556763,1.2390837669372559,0.8222278356552124,2.0999011993408203,1.6670644283294678,0.07572353631258011,0.08516968041658401,0.9383659362792969,0.8919376134872437
8,0.8558007478713989,0.8426610827445984,1.2494815587997437,0.7967149615287781,2.105282783508301,1.6393762826919556,0.07871663570404053,0.0865786224603653,0.9397135376930237,0.8819946646690369
9,0.8586771488189697,0.8400227427482605,1.2519900798797607,0.7923961281776428,2.1106677055358887,1.6324185132980347,0.07700590789318085,0.08819694072008133,0.9463921189308167,0.8801809549331665
10,0.8544984459877014,0.8406888842582703,1.1704845428466797,0.6964905261993408,2.0249826908111572,1.5371793508529663,0.07940506190061569,0.08824067562818527,0.939332902431488,0.8383883833885193
11,0.8502730131149292,0.8369426727294922,1.142408013343811,0.7059334516525269,1.992681622505188,1.542876124382019,0.08194787055253983,0.0904565304517746,0.9347725510597229,0.8458266854286194
12,0.8432410955429077,0.836120069026947,1.1110414266586304,0.6685907244682312,1.9542821645736694,1.5047109127044678,0.08620873838663101,0.09122287482023239,0.9320725798606873,0.8244298696517944
13,0.8414298295974731,0.8349971771240234,1.1177774667739868,0.6363733410835266,1.9592071771621704,1.4713706970214844,0.08730293065309525,0.09214750677347183,0.9313840270042419,0.8068333268165588
14,0.8387938737869263,0.8331521153450012,1.0810823440551758,0.6228135228157043,1.9198768138885498,1.455965280532837,0.08896912634372711,0.09341289848089218,0.932300865650177,0.7986113429069519
15,0.8389179110527039,0.8311601877212524,1.0642199516296387,0.60992431640625,1.9031381607055664,1.441084623336792,0.08907477557659149,0.09475944191217422,0.9292579293251038,0.7919188737869263
16,0.8358939290046692,0.8280144929885864,1.040305495262146,0.6101773977279663,1.876199722290039,1.4381917715072632,0.09077729284763336,0.09669677168130875,0.9338659048080444,0.795075535774231
17,0.8441542983055115,0.8266469240188599,0.981211245059967,0.5910594463348389,1.8253659009933472,1.4177066087722778,0.08611883968114853,0.0977209061384201,0.922349750995636,0.7848471403121948
18,0.8360548615455627,0.8220783472061157,0.990385115146637,0.6138250827789307,1.8264391422271729,1.435903787612915,0.09087418019771576,0.1003681868314743,0.921664834022522,0.8009945154190063
19,0.828951895236969,0.8255119919776917,0.9859223961830139,0.5445753335952759,1.8148739337921143,1.3700873851776123,0.0951358899474144,0.09900397807359695,0.9186754822731018,0.7515063285827637
20,0.8229835629463196,0.8253964781761169,0.9789801836013794,0.5233826637268066,1.801963210105896,1.3487788438796997,0.09872975945472717,0.09938564151525497,0.917340874671936,0.734582781791687
21,0.8272441625595093,0.8223937749862671,0.986242949962616,0.5196120738983154,1.8134874105453491,1.342005729675293,0.09631671011447906,0.10127446800470352,0.9190710186958313,0.7377024292945862
22,0.8228453397750854,0.8249348998069763,0.9591870307922363,0.4867841899394989,1.78203284740448,1.3117189407348633,0.0991828590631485,0.10027652978897095,0.9133045673370361,0.7044820189476013
23,0.8166137337684631,0.8268328905105591,0.9225514531135559,0.46095412969589233,1.7391656637191772,1.287786841392517,0.10284587740898132,0.09959020465612411,0.9060283899307251,0.6780030131340027
24,0.8186641335487366,0.8221061825752258,0.9032067060470581,0.46633094549179077,1.7218705415725708,1.2884371280670166,0.10161789506673813,0.10239551216363907,0.9137334227561951,0.6925514340400696
25,0.8153177499771118,0.8210616111755371,0.8980051875114441,0.4570612907409668,1.7133229970932007,1.2781230211257935,0.10384952276945114,0.10326622426509857,0.904850423336029,0.6847363710403442
26,0.8103772401809692,0.8215947151184082,0.8975601196289062,0.4404464066028595,1.7079375982284546,1.2620413303375244,0.10665383189916611,0.10329539328813553,0.907605767250061,0.6684808731079102
27,0.821512758731842,0.8158048391342163,0.8812002539634705,0.45225369930267334,1.7027132511138916,1.2680583000183105,0.10026094317436218,0.10663645714521408,0.8997573852539062,0.6906191110610962
28,0.8068952560424805,0.8088662028312683,0.8791174292564392,0.4743915796279907,1.686013102531433,1.2832573652267456,0.10902785509824753,0.11058838665485382,0.9034067988395691,0.7193153500556946
29,0.8047463893890381,0.8121193051338196,0.8554770946502686,0.44248059391975403,1.6602234840393066,1.254599928855896,0.11055438965559006,0.1092100515961647,0.898567259311676,0.6867982745170593
